id,crop,disease,causal_agent,symptoms_identification,organic_control,chemical_control
880,Almond,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
881,Almond,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
882,Almond,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
883,Almond,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
884,Almond,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
623,Apple,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
624,Apple,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
625,Apple,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Symptoms worsen in humid conditions.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
626,Apple,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
532,Areca Nut,Bud Rot,Phytophthora palmivora,Rotting of bud/inflorescence leading to sudden collapse in palms. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
533,Areca Nut,Lethal Yellowing,Phytoplasma,Yellowing and premature fruit drop causing death. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
534,Areca Nut,Ganoderma Root Rot,Ganoderma spp.,"Basal stem decay, conks at base, eventual collapse. Occurs frequently under stress or high nitrogen levels.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
944,Arhar (Pigeon pea),Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
